X				Y			OBJECTID	SPECIES	DIAMETER
-89.39038374	43.04696683	236	547	20
-89.39039409	43.04680826	237	547	20
-89.39041257	43.04671404	238	547	22
-89.39045313	43.04645703	239	544	5
-89.39048131	43.04626854	240	544	9
-89.39049141	43.04613569	241	544	13
-89.3905486		43.0459688	242	547	19
-89.39058462	43.04587468	243	547	19
-89.39280261	43.04919315	244	952	13
-89.39295727	43.04920429	245	952	11
-89.39311997	43.04921548	246	952	8
-89.39331882	43.04922907	247	952	9
-89.39358389	43.04925407	248	952	10
-89.3939384		43.04978516	249	2	6
-89.39394064	43.04980025	250	310	1
-89.39396322	43.04991796	251	544	9
-89.39398236	43.05001388	252	544	3
-89.39399933	43.05012748	253	544	4
-89.39404973	43.05031495	254	1	0
-89.39408446	43.05046108	255	1	0
-89.3942659		43.05101483	256	1	0
-89.39459369	43.05140426	257	554	18
-89.39454449	43.05129786	258	311	13
-89.39446388	43.05111612	259	554	21
-89.39435629	43.05081778	260	136	13
-89.39433101	43.05073215	261	500	5
-89.39429584	43.05063025	262	554	22
-89.39419326	43.0502317	263	500	5
-89.39365363	43.04911293	264	952	3
-89.39340853	43.0491013	265	952	3
-89.39313542	43.04907626	266	952	3
-89.39295265	43.04906202	267	952	3
-89.39254946	43.04933831	268	1	0
-89.39258517	43.04956894	269	1	0
-89.39246645	43.04975051	270	547	18
-89.39215372	43.04974884	271	547	23
-89.39186595	43.04988235	272	311	1
-89.3917945		43.05001273	273	544	15
-89.39176459	43.05008116	274	311	1
-89.391711		43.05017948	275	544	10
-89.39166035	43.05027567	276	544	32
-89.39157382	43.05045313	277	311	1
-89.39144293	43.05068179	278	311	1
-89.39140991	43.0507695	279	311	1
-89.39123896	43.05104261	280	661	1
-89.39120177	43.05112434	281	661	1
-89.39112236	43.05127064	282	661	1
-89.39108536	43.05133332	283	661	1
-89.39099534	43.05150242	284	661	1
-89.39094491	43.05160885	285	661	1
-89.39082072	43.05181778	286	661	1
-89.39076505	43.051928	287	661	1
-89.39063801	43.05216168	288	544	6
-89.39052932	43.05237832	289	320	9
-89.39046594	43.05248087	290	802	28
-89.39044474	43.05252268	291	802	35
-89.39037324	43.05265758	292	954	8
-89.39026766	43.05282278	293	320	32
-89.39051819	43.05297275	294	320	23
-89.39068453	43.05296792	295	320	27
-89.39083249	43.05298205	296	554	26
-89.39101632	43.05298142	297	317	44
-89.39117286	43.05298197	298	554	19
-89.39133394	43.05298283	299	554	20
-89.39149824	43.05298692	300	554	24
-89.39167987	43.05299019	301	554	24
-89.39183532	43.05299122	302	554	23
-89.39198083	43.0529901	303	554	24
-89.39198967	43.05288535	304	554	19
-89.39176369	43.05287842	305	554	14
-89.39146235	43.052873	306	554	20
-89.39128564	43.05287587	307	320	19
-89.39122332	43.05287172	308	320	20
-89.39098949	43.05287047	309	554	17
-89.39076092	43.05286353	310	554	10
-89.39062582	43.05286281	311	320	22
-89.39055043	43.05286622	312	318	22
-89.39378245	43.04388562	313	554	14
-89.39366461	43.04436068	314	547	23
-89.39363605	43.04445271	315	547	12
-89.39359207	43.04457785	316	547	17
-89.39355851	43.04466617	317	547	15
-89.39349903	43.04483363	318	547	16
-89.39317892	43.04593264	322	311	2
-89.39316556	43.04601185	323	311	2
-89.39314681	43.0461279	324	311	2
-89.39312037	43.04625867	325	320	17
-89.39310911	43.0463803	326	320	21
-89.3930903		43.04650188	327	320	18
-89.39306851	43.04667139	328	320	22
-89.39304719	43.04679296	329	320	18
-89.39297404	43.04732357	330	320	15
-89.39294953	43.04751334	331	310	1
-89.39294933	43.04753362	332	2	40
-89.3929254		43.0476644	333	320	20
-89.39290941	43.0477565	334	320	7
-89.39286341	43.04808444	335	554	10
-89.39273436	43.04766338	336	320	14
-89.39469666	43.05395247	337	541	29
-89.39451847	43.0539408	338	541	25
-89.39440147	43.05394876	339	541	23
